bat_landing_to_food,seconds_after_rat_arrival,risk,reward,month,hours_after_sunset,season
13.0,407,1,0,4,2.928055556,1
4.0,616,1,0,4,4.154444444,1
9.0,655,1,0,4,4.165277778,1
12.0,673,1,0,4,4.170277778,1
11.0,685,1,1,4,4.173611111,1
2.0,773,0,1,4,4.198055556,1
5.0,9,1,0,4,0.4025,1
2.0,203,0,1,4,0.456388889,1
7.0,161,0,1,4,4.955,1
2.0,238,0,1,4,4.976388889,1
5.0,64,0,1,4,5.536388889,1
4.0,174,0,1,4,5.566944444,1
4.0,263,0,1,4,5.591666667,1
16.0,276,0,1,4,5.595277778,1
1.0,105,0,1,4,5.916111111,1
2.0,183,0,1,4,5.937777778,1
3.0,1,0,1,4,6.456111111,1
4.0,161,0,1,4,5.563333333,1
2.0,5,0,1,4,0.605555556,1
1.0,254,0,1,4,0.164722222,1
5.0,383,0,1,4,0.200555556,1
0.039481249,440,0,1,4,0.216388889,1
2.0,139,0,1,4,2.155555556,1
25.0,250,0,1,4,2.186388889,1
2.0,12,0,1,4,2.772222222,1
1.0,0,0,1,4,5.601666667,1
2.0,349,1,0,4,5.698611111,1
0.071239584,383,0,1,4,5.708055556,1
11.0,25,1,0,4,6.516666667,1
5.0,121,1,0,4,6.933055556,1
0.033235649,150,0,1,4,6.941111111,1
3.0,172,0,1,4,6.947222222,1
15.0,460,1,0,4,7.027222222,1
1.0,482,0,1,4,7.033333333,1
1.0,580,1,0,4,7.060555556,1
17.0,587,1,0,4,7.0625,1
0.0502264,603,0,1,4,7.066944444,1
4.0,619,1,0,4,7.071388889,1
1.0,621,0,0,4,7.071944444,1
0.057320093,629,0,0,4,7.074166667,1
2.0,628,1,0,4,7.073888889,1
2.0,638,0,1,4,7.076666667,1
1.0,261,0,1,4,8.218611111,1
6.0,279,1,0,4,8.223611111,1
4.0,285,0,1,4,10.69888889,1
17.0,336,0,1,4,5.695,1
4.0,629,1,0,5,4.518888889,1
10.0,234,1,0,5,7.870833333,1
23.0,423,1,0,5,8.3525,1
2.0,158,1,0,5,9.072777778,1
5.0,203,1,0,5,9.085277778,1
10.0,149,0,1,5,10.14583333,1
2.0,187,1,0,5,10.15638889,1
3.0,10,1,0,5,7.122777778,1
2.0,61,0,1,5,7.136944444,1
1.0,132,0,1,5,7.156666667,1
4.0,137,0,1,5,7.158055556,1
5.0,144,0,1,5,7.16,1
21.0,318,0,1,5,7.208333333,1
7.0,367,0,1,5,7.221944444,1
23.0,378,0,1,5,7.225,1
1.0,78,0,1,5,7.953888889,1
8.0,483,1,0,5,8.066388889,1
8.0,530,1,0,5,8.079444444,1
4.0,618,0,1,5,-0.198611111,1
1.0,703,0,1,5,-0.175,1
1.0,939,0,1,5,-0.109444444,1
1.0,62,0,1,5,2.120277778,1
1.0,443,0,1,5,2.226111111,1
4.0,275,0,0,5,2.833888889,1
23.0,261,0,1,5,3.858611111,1
10.0,130,0,1,5,4.592777778,1
2.0,10,0,1,5,5.434166667,1
19.0,12,1,0,5,5.434722222,1
1.0,142,0,1,5,5.470833333,1
2.0,253,1,0,5,5.501666667,1
6.0,280,1,0,5,5.509166667,1
20.0,396,1,1,5,5.541388889,1
22.0,408,0,1,5,5.544722222,1
7.0,433,0,1,5,5.551666667,1
4.0,627,1,0,5,5.605555556,1
2.0,99,1,0,5,6.248333333,1
0.010871342,404,1,0,5,6.995555556,1
4.0,449,1,0,5,7.008055556,1
6.0,481,1,0,5,7.016944444,1
1.0,23,0,1,5,8.5025,1
23.0,489,1,1,5,9.026111111,1
0.019932178,110,0,1,5,9.813055556,1
22.0,296,1,0,5,5.513611111,1
7.0,507,1,0,5,7.024166667,1
4.0,78,1,0,5,5.644166667,1
2.0,48,0,1,5,7.147777778,1
7.0,123,0,1,5,7.168611111,1
5.0,161,1,0,5,7.179166667,1
3.0,31,0,1,5,7.794166667,1
3.0,29,1,0,5,9.301111111,1
4.0,15,0,1,5,2.702222222,1
1.0,105,0,1,5,2.727222222,1
7.0,218,1,0,5,2.758611111,1
24.0,228,1,0,5,2.761388889,1
22.0,87,1,0,5,4.505833333,1
2.0,627,1,0,5,7.314722222,1
21.0,670,1,1,5,7.326666667,1
8.0,705,1,1,5,7.336388889,1
8.0,331,1,0,5,9.059444444,1
1.0,247,0,1,5,3.234444444,1
9.0,252,1,0,5,3.235833333,1
4.0,383,1,1,5,3.272222222,1
3.0,28,1,0,5,4.299166667,1
1.0,54,1,0,5,4.306388889,1
11.0,348,1,0,5,4.388055556,1
16.0,529,1,1,5,4.438333333,1
8.0,624,1,0,5,2.311111111,1
26.0,271,1,1,5,7.338888889,1
14.0,111,1,0,5,7.918055556,1
4.0,16,0,1,5,4.773888889,1
19.0,41,1,0,5,4.780833333,1
4.0,50,1,0,5,4.783333333,1
14.0,134,1,0,5,4.806666667,1
0.095162728,11,0,1,5,5.150555556,1
3.0,241,0,1,5,5.214444444,1
0.042360901,250,0,1,5,5.216944444,1
2.0,271,0,1,5,5.222777778,1
3.0,276,1,0,5,5.224166667,1
2.0,304,0,1,5,5.231944444,1
8.0,352,1,0,5,5.245277778,1
4.0,649,1,0,5,5.327777778,1
18.0,819,1,0,5,5.375,1
2.0,889,0,1,5,5.394444444,1
8.0,932,1,0,5,5.406388889,1
2.0,1,0,1,5,7.231111111,1
4.0,386,0,1,5,8.188055556,1
7.0,257,1,0,5,8.608611111,1
4.0,295,0,1,5,8.619166667,1
19.0,125,1,1,5,10.37722222,1
1.0,62,1,0,5,4.786666667,1
5.0,210,0,1,5,4.827777778,1
2.0,177,0,1,5,5.196666667,1
13.0,377,0,1,5,5.252222222,1
1.0,915,0,1,5,5.401666667,1
8.0,118,1,1,5,3.194166667,1
26.0,482,1,0,5,5.929166667,1
4.0,11,1,0,5,10.21861111,1
14.0,140,0,1,5,8.131944444,1
6.0,260,1,1,5,-0.015277778,1
3.0,9,1,0,5,0.530555556,1
1.0,51,1,0,5,0.542222222,1
